,StockId,chassis,Model,Engine Capacity,Drive Type,Transmission,Port,Sale Location,Grade/Class,Mileage,Steering,Engine Code,Color,Interior Color,Fuel Type,Seats,Doors,Total Views,source
0,Stock No. 728052,DJ3AS-106949,DEMIO,1300 CC,4wheel drive,AT,Sendai,Jan Japan Motors Walvis Bay Showroom,13C,132530 KM,Right,P3,Pearl White,Gray,Gasoline/Petrol,5,5,1138,Janjapan/namibia
1,Stock No. 871517,WDD2050042R373870,C CLASS,2140 CC,2wheel drive,AT,City 1,ON The Way,C220D,142992 KM,Right,651,Pearl White,Gray,Gasoline/Petrol,5,4,32,Janjapan/namibia
2,Stock No. 853352,E12-411152,NOTE,1190 CC,2wheel drive,AT,Tokyo,MESSINA STOCK DBN DEPO,,171280 KM,Right,HR12,Red,Gray,Gasoline/Petrol,5,5,02,Janjapan/namibia
3,Stock No. 848187,NCP100-0012973,RACTIS,1500 CC,2wheel drive,AT,Sendai,MOZAMBIQUE STOCK DBN DEPO,G,137843 KM,Right,1NZ,Red,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
4,Stock No. 861867,KDH206-6011747,HIACE VAN,3000 CC,4wheel drive,AT,City 1,ON The Way,DX,300855 KM,Right,1KD,White,Gray,Diesel,3,5,10,Janjapan/namibia
5,Stock No. 851265,K13-059190,MARCH,1200 CC,2wheel drive,AT,Tokyo,MESSINA STOCK DBN DEPO,S,118251 KM,Right,HR12,Silver,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
6,Stock No. 854132,VM20-086252,NV200,1600 CC,2wheel drive,MT,Tokyo,MESSINA STOCK DBN DEPO,DX,130585 KM,Right,HR16,White,Gray,Gasoline/Petrol,2,5,0,Janjapan/namibia
7,Stock No. 853204,KDH201-5019582,HIACE VAN,3000 CC,2wheel drive,AT,Nagoya,MESSINA STOCK DBN DEPO,DX,220499 KM,Right,1KD,Dark Blue,Gray,Diesel,3,5,07,Janjapan/namibia
8,Stock No. 851600,NE12-101271,NOTE,1200 CC,4wheel drive,AT,Toyama,MESSINA STOCK DBN DEPO,X-FOUR,66645 KM,Right,HR12,Gray,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
9,Stock No. 865916,VW6E26-015273,CARAVAN,2500 CC,4wheel drive,AT,City 1,ON The Way,DX,258464 KM,Right,YD25,White,Gray,Diesel,3,5,02,Janjapan/namibia
10,Stock No. 848116,BM5FS-303360,AXELA SPORT,1500 CC,2wheel drive,AT,Tokyo,MESSINA STOCK DBN DEPO,15S,207006 KM,Right,P5,Brown,Gray,Gasoline/Petrol,5,5,04,Janjapan/namibia
11,Stock No. 870697,WDD2120362B183801,E CLASS,1990 CC,2wheel drive,AT,City 1,ON The Way,E250,185877 KM,Right,,White,Gray,Gasoline/Petrol,5,4,16,Janjapan/namibia
12,Stock No. 855276,KE2AW-209741,CX 5,2200 CC,2wheel drive,AT,Tokyo,MESSINA STOCK DBN DEPO,XD,235570 KM,Right,SH,Blue,Gray,Diesel,5,5,09,Janjapan/namibia
13,Stock No. 853253,E12-435058,NOTE,1200 CC,2wheel drive,AT,Tokyo,MESSINA STOCK DBN DEPO,X DIG-S,102740 KM,Right,HR12,Light Blue,Gray,Gasoline/Petrol,5,5,04,Janjapan/namibia
14,Stock No. 853107,E12-428203,NOTE,1200 CC,2wheel drive,AT,Tokyo,MESSINA STOCK DBN DEPO,X,156992 KM,Right,HR12,Silver,Gray,Gasoline/Petrol,5,5,02,Janjapan/namibia
15,Stock No. 864631,VR2E26-030177,CARAVAN,2000 CC,2wheel drive,AT,City 1,ON The Way,DX,168014 KM,Right,QR20,Black,Gray,Gasoline/Petrol,6,5,04,Janjapan/namibia
16,Stock No. 872897,WDD2050402R127345,C CLASS,1600 CC,2wheel drive,AT,City 1,ON The Way,M,90585 KM,Right,274M16,White,Gray,Gasoline/Petrol,5,4,12,Janjapan/namibia
17,Stock No. 874953,CWEFW-134581,PREMACY,2000 CC,2wheel drive,AT,Tokyo,ON The Way,20CS,65718 KM,Right,LF,Red,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
18,Stock No. 873088,WVWZZZ1KZCW230128,GOLF 6 GTI,2000 CC,2wheel drive,AT,Hokkaido,ON The Way,GTI,94112 KM,Right,,Black,Gray,Gasoline/Petrol,5,5,02,Janjapan/namibia
19,Stock No. 877778,NSP120-2024530,RACTIS,1300 CC,2wheel drive,AT,Nagoya,ON The Way,G,50159 KM,Right,1NR,Light Blue,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
20,Stock No. 877868,KSP130-2043754,VITZ,1000 CC,2wheel drive,AT,City 1,ON The Way,F M,174166 KM,Right,1KR,White,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
21,Stock No. 876313,NCP81-5165928,SIENTA,1500 CC,2wheel drive,AT,Sendai,New Loading Invoiced,DICE,100856 KM,Right,1NZ,Pearl White,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
22,Stock No. 877288,DEJFS-125793,DEMIO,1300 CC,2wheel drive,AT,City 1,ON The Way,,176765 KM,Right,P3,Brown,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
23,Stock No. 879177,KSP130-2045420,VITZ,1000 CC,2wheel drive,AT,City 1,ON The Way,F,129101 KM,Right,,Pearl White,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
24,Stock No. 878019,YF15-059067,JUKE,1500 CC,2wheel drive,AT,Tokyo,ON The Way,15R,112845 KM,Right,HR15,METALLIC GRAY,Gray,Gasoline/Petrol,5,5,02,Janjapan/namibia
25,Stock No. 880174,DE3FS-523970,DEMIO,1300 CC,2wheel drive,AT,Tokyo,New Loading Invoiced,13C-V,164595 KM,Right,ZJ,Black,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
26,Stock No. 880664,WVWZZZ1KZCW142694,GOLF 6 TSI,1200 CC,2wheel drive,AT,City 1,New Loading Invoiced,ED,154735 KM,Right,,Black,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
27,Stock No. 883718,NCP81-5163084,SIENTA,1500 CC,2wheel drive,AT,Tokyo,New Loading,DICE,63615 KM,Right,,DARK GRAY,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
28,Stock No. 880313,WVWZZZ6RZCU044365,POLO 6 TSI,1200 CC,2wheel drive,AT,Fukuoka,ON The Way,,151168 KM,Right,,Black,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
29,Stock No. 881284,KSP130-2000227,VITZ,1000 CC,2wheel drive,AT,Nagoya,New Loading Invoiced,I,50556 KM,Right,1KR,Light Rose,Gray,Gasoline/Petrol,5,5,01,Janjapan/namibia
30,Stock No. 881857,WBA1A32000J065146,1 SERIES,1600 CC,2wheel drive,AT,Tokyo,Stock In Japan,120i,190160 KM,Right,,Red,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
31,Stock No. 882556,WAUZZZ8K4CA056025,A4,2000 CC,4wheel drive,AT,City 1,New Loading Invoiced,2.0TFSI,91188 KM,Right,,White,Gray,Gasoline/Petrol,5,4,0,Janjapan/namibia
32,Stock No. 883165,KSP130-2044274,VITZ,1000 CC,2wheel drive,AT,Nagoya,New Loading,F,73347 KM,Right,,Gray,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
33,Stock No. 884662,NSP130-2042449,VITZ,1300 CC,2wheel drive,AT,City 1,Stock In Japan AINA,,80105 KM,Right,,Light Rose,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
34,Stock No. 886515,WVWZZZ1KZCW152967,GOLF 6 TSI,1200 CC,2wheel drive,AT,Fukuoka,Stock In Japan,TSI,161664 KM,Right,,Red,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
35,Stock No. 885624,NCP81-5167512,SIENTA,1500 CC,2wheel drive,AT,City 1,Stock In Japan,,112654 KM,Right,,Black,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
36,Stock No. 884999,NCP125-2009278,RACTIS,1500 CC,4wheel drive,AT,Hokkaido,Stock In Japan,X,112158 KM,Right,,Silver,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
37,Stock No. 852188,DE3FS-523039,DEMIO,1300 CC,2wheel drive,AT,Sendai,ON The Way,13C-V,80070 KM,Right,ZJ,Pearl White,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
38,Stock No. 850738,WAUZZZ8KXCA014894,A4,2000 CC,4wheel drive,AT,City 1,Q1,,110466 KM,Right,CDN,Black,Gray,Gasoline/Petrol,5,4,03,Janjapan/namibia
39,Stock No. 854240,KE2AW-101110,CX 5,2200 CC,4wheel drive,AT,Hokkaido,ON The Way,XD,179403 KM,Right,SH,Pearl White,Gray,Diesel,5,5,07,Janjapan/namibia
40,Stock No. 851194,NCP81-5165964,SIENTA,1500 CC,2wheel drive,AT,City 1,Q1,,146645 KM,Right,1NZ,Red,Gray,Gasoline/Petrol,7,5,01,Janjapan/namibia
41,Stock No. 855031,DC5W-356520,VERISA,1500 CC,2wheel drive,AT,Tokyo,Q1,C,169847 KM,Right,ZY,White,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
42,Stock No. 855169,KJ10-307472,DUALIS,1990 CC,2wheel drive,AT,City 1,Arrived At Port,20G,115077 KM,Right,MR20,Black,Gray,Gasoline/Petrol,5,5,10,Janjapan/namibia
43,Stock No. 855898,KE2AW-100938,CX 5,2180 CC,4wheel drive,AT,City 1,Arrived At Port,XD,171756 KM,Right,SH,Black,Gray,Diesel,5,5,04,Janjapan/namibia
44,Stock No. 861480,NCP120-2036057,RACTIS,1500 CC,2wheel drive,AT,City 1,ON The Way,G,70095 KM,Right,,Silver,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
45,Stock No. 857335,YF15-059838,JUKE,1500 CC,2wheel drive,AT,Fukuoka,MOZAMBIQUE STOCK DBN DEPO,15RX V,127283 KM,Right,,Black,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
46,Stock No. 866763,DEJFS-128241,DEMIO,1300 CC,2wheel drive,AT,Nagoya,Stock In Japan,13SKY,86580 KM,Right,,Black,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
47,Stock No. 867467,NCP120-2037312,RACTIS,1500 CC,2wheel drive,AT,Tokyo,ON The Way,,178989 KM,Right,1NZ,Pearl White,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
48,Stock No. 868739,NCP120-2032999,RACTIS,1500 CC,2wheel drive,AT,Tokyo,ON The Way,G,178698 KM,Right,1NZ,Light Blue,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
49,Stock No. 870287,NCP81-5168597,SIENTA,1500 CC,2wheel drive,AT,Tokyo,ON The Way,,199116 KM,Right,1NZ,Pearl White,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
50,Stock No. 870315,NCP81-5162287,SIENTA,1500 CC,2wheel drive,AT,Nagoya,ON The Way,I,97359 KM,Right,1NZ,Purple,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
51,Stock No. 870403,NCP81-5168851,SIENTA,1500 CC,2wheel drive,AT,Tokyo,ON The Way,DICE,133291 KM,Right,1NZ,Black,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
52,Stock No. 870776,NCP81-5167793,SIENTA,1500 CC,2wheel drive,AT,Sendai,ON The Way,G,126912 KM,Right,1NZ,Silver,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
53,Stock No. 871072,BL5FW-203574,AXELA SPORT,1500 CC,2wheel drive,AT,Nagoya,ON The Way,15C,104605 KM,Right,,Black,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
54,Stock No. 870922,NCP81-5162523,SIENTA,1500 CC,2wheel drive,AT,Tokyo,ON The Way,,103162 KM,Right,1NZ,Purple,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
55,Stock No. 872035,WAUZZZ8R9CA065008,Q5,2000 CC,4wheel drive,AT,City 1,ON The Way,2.0TFSI,181550 KM,Right,CDN,Black,Gray,Gasoline/Petrol,5,5,05,Janjapan/namibia
56,Stock No. 871142,KSP130-2044566,VITZ,1000 CC,2wheel drive,AT,Sendai,New Loading,,132454 KM,Right,1KR,Black,Gray,Gasoline/Petrol,5,5,01,Janjapan/namibia
57,Stock No. 882588,NSP130-2066487,VITZ,1329 CC,2wheel drive,AT,Hokkaido,New Loading,F,178280 KM,Right,,Silver,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
58,Stock No. 883374,NSP135-2014218,VITZ,1300 CC,4wheel drive,AT,Nagoya,New Loading,F,150928 KM,Right,,White,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
59,Stock No. 883634,YF15-052403,JUKE,1500 CC,2wheel drive,AT,Fukuoka,New Loading,15RX,186158 KM,Right,HR15,Pearl White,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
60,Stock No. 884136,NZE121-3108364,COROLLA SPACIO,1500 CC,2wheel drive,AT,City 1,Stock In Japan AINA,X,167761 KM,Right,,Red,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
61,Stock No. 884014,KSP130-2039190,VITZ,1000 CC,2wheel drive,AT,City 1,Stock In Japan,FM,90918 KM,Right,,Silver,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
62,Stock No. 884335,CCEFW-228338,BIANTE,2000 CC,2wheel drive,AT,Tokyo,New Loading,20S,132614 KM,Right,,Black,Gray,Gasoline/Petrol,8,5,0,Janjapan/namibia
63,Stock No. 884229,KSP130-2038463,VITZ,1000 CC,2wheel drive,AT,Sendai,Stock In Japan,F,52405 KM,Right,,Light Rose,Gray,Gasoline/Petrol,5,5,01,Janjapan/namibia
64,Stock No. 885669,NCP81-5164223,SIENTA,1500 CC,2wheel drive,AT,Tokyo,Stock In Japan,,176798 KM,Right,,Silver,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
65,Stock No. 886863,NSP120-2023527,RACTIS,1300 CC,2wheel drive,AT,Tokyo,Stock In Japan,G,159377 KM,Right,,Silver,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
66,Stock No. 725624,WVWZZZ6RZCU030489,POLO 6 TSI,1200 CC,2wheel drive,AT,City 1,Stock In Japan,,77000 KM,Right,,Silver,Gray,Gasoline/Petrol,5,5,16,Janjapan/namibia
67,Stock No. 821474,WVWZZZ1KZCW174715,GOLF 6 TSI,1400 CC,2wheel drive,AT,Nagoya,Q1,CL,84718 KM,Right,,Blue,Gray,Gasoline/Petrol,5,5,04,Janjapan/namibia
68,Stock No. 822991,WAUZZZ8K2CA107067,A4,2000 CC,4wheel drive,AT,Tokyo,Q1,2.0 TFSI,110142 KM,Right,CDN,Silver,Gray,Gasoline/Petrol,5,4,05,Janjapan/namibia
69,Stock No. 831290,WVWZZZ1KZCW018718,GOLF 6 TSI,1400 CC,2wheel drive,AT,Hokkaido,Q1,TSI,81650 KM,Right,CAX,Red,Gray,Gasoline/Petrol,5,5,06,Janjapan/namibia
70,Stock No. 832083,K13-025768,MARCH,1200 CC,2wheel drive,AT,Nagoya,Q1,12S V,66903 KM,Right,HR12,Silver,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
71,Stock No. 832641,NHP10-6021947,AQUA,1500 CC,2wheel drive,AT,City 1,Lesotho Stock,S,129806 KM,Right,,DARK GRAY,Gray,Hybrid-Gasoline,5,5,07,Janjapan/namibia
72,Stock No. 840952,WVWZZZ6RZCU034735,POLO 6 TSI,1200 CC,2wheel drive,AT,Sendai,ON The Way,TIS,154551 KM,Right,CBZ,Silver,Gray,Gasoline/Petrol,5,5,02,Janjapan/namibia
73,Stock No. 841494,YF15-065208,JUKE,1500 CC,2wheel drive,AT,Tokyo,Q1,15R,141335 KM,Right,HR15,Gray,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
74,Stock No. 846231,WAUZZZ8P2CA101152,A3 SPORTBACK,1400 CC,2wheel drive,AT,City 1,Q1,1.4 TFSI,99983 KM,Right,,White,Gray,Gasoline/Petrol,5,5,06,Janjapan/namibia
75,Stock No. 849487,DEJFS-126782,DEMIO,1300 CC,2wheel drive,AT,City 1,Q1,13,182060 KM,Right,P3,Gray,Black,Gasoline/Petrol,5,5,0,Janjapan/namibia
76,Stock No. 850027,DE3FS-522672,DEMIO,1300 CC,2wheel drive,AT,City 1,Q1,13C-V,73793 KM,Right,ZJ,DARK RED,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
77,Stock No. 855954,CWEFW-136720,PREMACY,2000 CC,2wheel drive,AT,City 1,Q1,20CS,111213 KM,Right,LF,Sky Blue,Gray,Gasoline/Petrol,7,5,04,Janjapan/namibia
78,Stock No. 856275,YF15-060842,JUKE,1500 CC,2wheel drive,AT,Fukuoka,ON The Way,15RS,205187 KM,Right,HR15,Wine Red,Gray,Gasoline/Petrol,5,5,03,Janjapan/namibia
79,Stock No. 857676,CWEAW-101420,PREMACY,2000 CC,4wheel drive,AT,Hokkaido,ON The Way,,112333 KM,Right,LF,Black,Gray,Gasoline/Petrol,7,5,03,Janjapan/namibia
80,Stock No. 867112,NCP85-5015729,SIENTA,1500 CC,4wheel drive,AT,Sendai,ON The Way,DICE,190176 KM,Right,,DARK VIOLET,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
81,Stock No. 867769,DE3FS-516871,DEMIO,1300 CC,2wheel drive,AT,Nagoya,ON The Way,13C,97091 KM,Right,ZJ,Purple,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
82,Stock No. 868420,NSP120-2021734,RACTIS,1300 CC,2wheel drive,AT,City 1,ON The Way,X,47530 KM,Right,1NR,Silver,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
83,Stock No. 869934,YV1FS485BC2112218,S60,1600 CC,2wheel drive,AT,City 1,Stock In Japan,,92496 KM,Right,,Silver,Gray,Gasoline/Petrol,5,4,0,Janjapan/namibia
84,Stock No. 868891,DEJFS-125688,DEMIO,1300 CC,2wheel drive,AT,City 1,ON The Way,,169627 KM,Right,P3,Brown,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
85,Stock No. 870314,NCP81-5161724,SIENTA,1500 CC,2wheel drive,AT,Tokyo,ON The Way,,159564 KM,Right,1NZ,Pearl White,Gray,Gasoline/Petrol,7,5,01,Janjapan/namibia
86,Stock No. 871662,NCP120-2039874,RACTIS,1490 CC,2wheel drive,AT,City 1,ON The Way,,220418 KM,Right,1NZ,Silver,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
87,Stock No. 871242,NCP81-5163458,SIENTA,1500 CC,2wheel drive,AT,Tokyo,ON The Way,,148901 KM,Right,1NZ,Silver,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
88,Stock No. 872618,KSP130-2036286,VITZ,1000 CC,2wheel drive,AT,Tokyo,ON The Way,F,39555 KM,Right,1KR,Silver,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
89,Stock No. 873169,WVWZZZ6RZCU024155,POLO 6 TSI,1200 CC,2wheel drive,AT,Tokyo,ON The Way,,114198 KM,Right,CBZ,Black,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
90,Stock No. 875111,WVWZZZ6RZCU036699,POLO 6 TSI,1200 CC,2wheel drive,AT,City 1,ON The Way,,150681 KM,Right,CBZ,Silver,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
91,Stock No. 875397,NCP81-5163600,SIENTA,1500 CC,2wheel drive,AT,Fukuoka,ON The Way,,199026 KM,Right,1NZ,Silver,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
92,Stock No. 877239,DE5FS-501295,DEMIO,1500 CC,2wheel drive,AT,City 1,ON The Way,,150143 KM,Right,,White,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
93,Stock No. 877461,DE3FS-518788,DEMIO,1300 CC,2wheel drive,AT,City 1,ON The Way,13C-V,114001 KM,Right,ZJ,Gray,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
94,Stock No. 877693,KSP130-2041217,VITZ,1000 CC,2wheel drive,AT,Fukuoka,ON The Way,F,180579 KM,Right,1KR,White,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
95,Stock No. 880136,WVWZZZ6RZCU030776,POLO 6 TSI,1200 CC,2wheel drive,AT,Tokyo,New Loading Invoiced,TSI,96633 KM,Right,CBZ,Red,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
96,Stock No. 882147,DE3FS-519030,DEMIO,1300 CC,2wheel drive,AT,Tokyo,Stock In Japan,13C,167554 KM,Right,,Gray,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
97,Stock No. 879681,KSP130-2035021,VITZ,1000 CC,2wheel drive,AT,Tokyo,New Loading Invoiced,F,55420 KM,Right,1KR,Gray,,Gasoline/Petrol,5,5,0,Janjapan/namibia
98,Stock No. 880147,KSP130-2034921,VITZ,1000 CC,2wheel drive,AT,Tokyo,New Loading,F,182869 KM,Right,1KR,White,Gray,Gasoline/Petrol,5,5,01,Janjapan/namibia
99,Stock No. 883272,DE3FS-519619,DEMIO,1300 CC,2wheel drive,AT,City 1,New Loading Invoiced,13C-V,115717 KM,Right,,Cherry Black,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
100,Stock No. 880264,VR2E26-002863,CARAVAN,2000 CC,2wheel drive,AT,City 1,New Loading,DX,238011 KM,Right,QR20,White,Gray,Gasoline/Petrol,5,5,02,Janjapan/namibia
101,Stock No. 883449,DE3FS-520153,DEMIO,1300 CC,2wheel drive,AT,City 1,New Loading Invoiced,13C-V,139034 KM,Right,ZJ,Cherry Black,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
102,Stock No. 884231,KSP130-2028650,VITZ,1000 CC,2wheel drive,AT,City 1,New Loading,,46866 KM,Right,,Black,Gray,Gasoline/Petrol,5,5,01,Janjapan/namibia
103,Stock No. 885850,DE3FS-516021,DEMIO,1300 CC,2wheel drive,AT,Sendai,Stock In Japan,13C,103583 KM,Right,,Red,Gray,Gasoline/Petrol,5,5,01,Janjapan/namibia
104,Stock No. 884722,GE7-1508805,FIT,1300 CC,4wheel drive,AT,Hokkaido,Stock In Japan,,128054 KM,Right,,Silver,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
105,Stock No. 829707,WVWZZZ1KZCW124200,GOLF 6 TSI,1200 CC,2wheel drive,AT,Nagoya,Q1,,111454 KM,Right,CBZ,White,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
106,Stock No. 832182,K13-356012,MARCH,1200 CC,2wheel drive,AT,Tokyo,Q1,,70573 KM,Right,,Silver,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
107,Stock No. 842331,WBAVL320X0VP93948,X1,2000 CC,2wheel drive,AT,Fukuoka,Q1,,88128 KM,Right,N46B20B,White,Gray,Gasoline/Petrol,5,5,06,Janjapan/namibia
108,Stock No. 841233,YF15-060673,JUKE,1500 CC,2wheel drive,AT,Fukuoka,Q1,15RX,94531 KM,Right,HR15,RADIANT RED EBONY,Gray,Gasoline/Petrol,5,5,03,Janjapan/namibia
109,Stock No. 849368,RM1-1001401,CRV,2000 CC,2wheel drive,AT,Nagoya,Q1,CR-V ,225031 KM,Right,R20A,Blue,Gray,Gasoline/Petrol,5,5,01,Janjapan/namibia
110,Stock No. 844012,K13-361559,MARCH,1200 CC,2wheel drive,AT,City 1,Q1,12X,76434 KM,Right,HR12,Purple,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
111,Stock No. 849214,DEJFS-123780,DEMIO,1300 CC,2wheel drive,AT,City 1,Q1,13,186011 KM,Right,P3,Blue,Gray,Gasoline/Petrol,5,5,01,Janjapan/namibia
112,Stock No. 849492,DEJFS-124149,DEMIO,1300 CC,2wheel drive,AT,City 1,Q1,13,177889 KM,Right,P3,Purple,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
113,Stock No. 851167,NCP81-5164503,SIENTA,1500 CC,2wheel drive,AT,Fukuoka,ON The Way,DICE,153506 KM,Right,1NZ,Dark Purple,Gray,Gasoline/Petrol,7,5,01,Janjapan/namibia
114,Stock No. 851736,DE3FS-520049,DEMIO,1300 CC,2wheel drive,AT,Fukuoka,Q1,13C,122425 KM,Right,ZJ,ALUMINIUM METALLIC,Black,Gasoline/Petrol,5,5,0,Janjapan/namibia
115,Stock No. 853629,NCP85-5015675,SIENTA,1500 CC,4wheel drive,AT,Sendai,ON The Way,,197772 KM,Right,1NZ,Dark Purple,Gray,Gasoline/Petrol,7,5,03,Janjapan/namibia
116,Stock No. 851786,BLFFW-105862,AXELA SPORT,2000 CC,2wheel drive,AT,City 1,Q1,20C,178198 KM,Right,PE,Dark Blue,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
117,Stock No. 870877,NSP120-2027369,RACTIS,1300 CC,2wheel drive,AT,Nagoya,ON The Way,X,187555 KM,Right,1NR,Silver,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
118,Stock No. 871497,WAUZZZ8T9BA101676,A5,2000 CC,4wheel drive,AT,Nagoya,ON The Way,20TF,62349 KM,Right,,White,Gray,Gasoline/Petrol,5,4,02,Janjapan/namibia
119,Stock No. 872939,CWEFW-137109,PREMACY,1990 CC,2wheel drive,AT,Tokyo,ON The Way,,107885 KM,Right,LF,Pearl White,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
120,Stock No. 873042,GE6-1584861,FIT,1300 CC,2wheel drive,AT,Tokyo,ON The Way,G,153306 KM,Right,L13A,White,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
121,Stock No. 873394,KSP130-2034259,VITZ,1000 CC,2wheel drive,AT,Tokyo,ON The Way,,79782 KM,Right,1KR,Pink,Gray,Gasoline/Petrol,5,5,01,Janjapan/namibia
122,Stock No. 873509,CWEFW-125487,PREMACY,2000 CC,2wheel drive,AT,Tokyo,ON The Way,,73192 KM,Right,LF,Dark Blue,Gray,Gasoline/Petrol,7,5,0,Janjapan/namibia
123,Stock No. 874106,BLFFW-104032,AXELA SPORT,2000 CC,2wheel drive,AT,City 1,ON The Way,20S,131899 KM,Right,PE,Blue,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
124,Stock No. 874398,BLFFW-101060,AXELA SPORT,2000 CC,2wheel drive,AT,City 1,ON The Way,,108520 KM,Right,PE,Gray,Gray,Gasoline/Petrol,5,5,01,Janjapan/namibia
125,Stock No. 875049,CWEFW-135625,PREMACY,2000 CC,2wheel drive,AT,Nagoya,ON The Way,20E,169993 KM,Right,LF,Blue,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
126,Stock No. 876515,BL5FW-202414,AXELA SPORT,1500 CC,2wheel drive,AT,City 1,ON The Way,,243081 KM,Right,,White,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
127,Stock No. 876673,WVWZZZ6RZCU019937,POLO 6 TSI,1200 CC,2wheel drive,AT,Fukuoka,ON The Way,,146915 KM,Right,CBZ,Red,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
128,Stock No. 877088,BL5FW-202120,AXELA SPORT,1500 CC,2wheel drive,AT,Fukuoka,New Loading,,47499 KM,Right,ZY,DARK GRAY,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
129,Stock No. 876960,NSP135-2013846,VITZ,1300 CC,4wheel drive,AT,Sendai,New Loading Invoiced,F,199033 KM,Right,1NR,Black,Gray,Gasoline/Petrol,5,5,01,Janjapan/namibia
130,Stock No. 877431,BL5FW-201545,AXELA SPORT,1500 CC,2wheel drive,AT,Nagoya,ON The Way,15C,19484 KM,Right,ZY,DARK GRAY,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
